Number;InsertionTime;SearchTime;RemovingTime;IndexingTime;IndexSearchingTime;InsertionUsedMemory;SearchUsedMemory;RemovingUsedMemory;IndexingUsedMemory;IndexSearchingUsedMemory;InsertionDiskOperationsCount;SearchDiskOperationsCount;RemovingDiskOperationsCount;IndexingDiskOperationsCount;IndexSearchingDiskOperationsCount;MaxSearchDepth;IndexMaxSearchDepth
1;0;0;0;14510;10533;0;87402;0;118187;22690124;1;0;1;7,28e+004;499;1;3
2;0;0;0;14386;10503;0;100113;0;158498;22702835;1;0;1;5,61e+004;249;1;3
3;0;0;0;14647;10500;0;182846;0;370117;22785568;1;0;1;4,93e+004;49;1;2
4;0;0;0;14839;10486;0;291979;0;663250;22894701;1;0;1;4,81e+004;24;1;2
5;0;0;0;15168;10499;0;409112;0;964383;23011834;1;0;1;4,71e+004;16;1;2
6;0;0;0;15323;10506;0;534245;0;1273516;23136967;1;0;1;4,61e+004;12;1;2
7;0;0;0;14402;10501;0;177494;0;208555;22780216;1;0;1;7,28e+004;499;1;3
8;0;0;0;14376;10492;0;189443;0;248104;22792165;1;0;1;5,61e+004;249;1;3
9;0;0;0;14671;10549;0;272192;0;459647;22874914;1;0;1;4,93e+004;49;1;2
10;0;0;0;15026;10504;0;381343;0;752798;22984065;1;0;1;4,81e+004;24;1;2
11;0;0;0;15125;10503;0;498493;0;1053948;23101215;1;0;1;4,71e+004;16;1;2
12;0;0;0;15326;10502;0;623643;0;1363098;23226365;1;0;1;4,61e+004;12;1;2
13;0;0;0;14470;10496;0;263317;0;305578;22866039;1;0;1;9,31e+004;733;1;3
14;0;0;0;14439;10574;0;271799;0;354140;22874521;1;0;1;7,76e+004;372;1;3
15;0;0;10;15138;10499;0;327225;0;663500;22929947;1;0;1;5,22e+004;74;1;2
16;0;0;0;14722;10500;0;400507;0;1070606;23003229;1;0;1;5,02e+004;37;1;2
17;0;0;0;14885;10497;0;478933;0;1482120;23081655;1;0;1;4,9e+004;24;1;2
18;0;0;0;15032;10499;0;562687;0;1898962;23165409;1;0;1;4,81e+004;18;1;2
19;0;0;0;14580;10500;0;325177;0;373336;22927899;1;0;1;1,04e+005;755;1;3
20;0;0;0;14471;10485;0;333663;0;428158;22936385;1;0;1;8,38e+004;378;1;3
21;0;0;0;14540;10503;0;389093;0;786466;22991815;1;0;1;5,37e+004;74;1;2
22;0;0;0;14787;10502;0;462379;0;1255032;23065101;1;0;1;5,1e+004;37;1;2
23;0;0;0;14889;10488;0;540809;0;1727822;23143531;1;0;1;4,95e+004;24;1;2
24;0;0;0;15105;10497;0;624567;0;2205940;23227289;1;0;1;4,85e+004;18;1;2
25;0;0;0;14414;388;0;390414;0;421199;1229344;1;0;1;7,23e+004;23;1;3
26;0;0;0;14391;384;0;402348;0;460733;1241278;1;0;1;5,46e+004;14;1;3
27;10;10;0;14950;394;0;485082;0;672353;1324012;1;0;1;4,92e+004;3;1;2
28;0;0;0;15576;390;0;594216;0;965487;1433146;1;0;1;4,81e+004;2;1;2
29;0;0;0;16408;383;0;711350;0;1266621;1550280;1;0;1;4,71e+004;2;1;2
30;0;0;0;16977;391;0;836484;0;1575755;1675414;1;0;1;4,6e+004;2;1;2
31;0;0;0;14502;391;0;479734;0;510795;1318664;1;0;1;7,22e+004;23;1;3
32;0;0;0;14405;383;0;491684;0;550345;1330614;1;0;1;5,46e+004;14;1;3
33;0;0;0;14955;393;0;574434;0;761889;1413364;1;0;1;4,92e+004;3;1;2
34;0;0;0;15600;383;0;683584;0;1055039;1522514;1;0;1;4,81e+004;2;1;2
35;0;0;0;16390;393;0;800734;0;1356189;1639664;1;0;1;4,71e+004;2;1;2
36;0;0;0;16984;385;0;925884;0;1665339;1764814;1;0;1;4,6e+004;2;1;2
37;0;0;0;14581;388;0;565558;0;625777;1404488;1;0;1;9,63e+004;31;1;3
38;0;0;0;14534;412;0;574040;0;680865;1412970;1;0;1;7,65e+004;17;1;3
39;0;0;0;14808;394;0;629466;0;965741;1468396;1;0;1;5,35e+004;3;1;2
40;0;0;0;15325;393;0;702748;0;1372847;1541678;1;0;1;5,11e+004;2;1;2
41;0;0;0;15741;393;0;781174;0;1784361;1784361;1;0;1;4,92e+004;2;1;2
42;0;0;0;16276;383;0;864928;0;2201203;2201203;1;0;1;4,82e+004;2;1;2
43;0;0;0;14575;385;0;627418;0;693535;1466348;1;0;1;1,07e+005;29;1;3
44;0;0;0;14528;393;0;635904;0;754883;1474834;1;0;1;8,37e+004;18;1;3
45;0;0;0;14838;385;0;691334;0;1088707;1530264;1;0;1;5,49e+004;3;1;2
46;0;0;0;15381;392;0;764620;0;1557273;1603550;1;0;1;5,24e+004;2;1;2
47;0;0;0;15764;393;0;843050;0;2030063;2030063;1;0;1;4,96e+004;2;1;2
48;0;0;0;16255;384;0;926808;0;2508181;2508181;1;0;1;4,9e+004;2;1;2
49;10;10;0;14499;0;0;692641;0;723426;723426;1;0;1;7,05e+004;6;1;3
50;0;0;0;14487;0;0;704575;0;744646;744646;1;0;1;5,09e+004;2;1;2
51;0;0;0;15027;0;0;787309;0;974580;974580;1;0;1;4,92e+004;2;1;2
52;0;0;0;15651;0;0;896443;0;1267714;1267714;1;0;1;4,81e+004;2;1;2
53;0;0;0;16570;0;0;1013577;0;1568848;1568848;1;0;1;4,71e+004;2;1;2
54;0;0;0;17201;0;0;1138711;0;1877982;1877982;1;0;1;4,6e+004;2;1;2
55;0;0;0;14498;0;0;781961;0;822228;822228;1;0;1;7,04e+004;6;1;3
56;0;0;0;14508;0;0;793911;0;834166;834166;1;0;1;5,09e+004;2;1;2
57;0;0;0;15039;0;0;876661;0;1064116;1064116;1;0;1;4,92e+004;2;1;2
58;0;0;0;15681;0;0;985811;0;1357266;1357266;1;0;1;4,81e+004;2;1;2
59;0;0;0;16580;0;0;1102961;0;1658416;1658416;1;0;1;4,71e+004;2;1;2
60;0;0;0;17100;0;0;1228111;0;1967566;1967566;1;0;1;4,6e+004;2;1;2
61;0;0;0;14642;0;0;867785;0;922018;922018;1;0;1;9,62e+004;6;1;3
62;0;0;0;14605;0;0;876267;0;983092;983092;1;0;1;7,74e+004;6;1;3
63;0;0;0;14903;0;0;931693;0;1267968;1267968;1;0;1;5,38e+004;2;1;2
64;0;0;0;15364;0;0;1004975;0;1675074;1675074;1;0;1;5,1e+004;2;1;2
65;0;0;0;15812;0;0;1083401;0;2086588;2086588;1;0;1;4,97e+004;2;1;2
66;0;0;0;16283;0;0;1167155;0;2503430;2503430;1;0;1;4,82e+004;2;1;2
67;0;0;0;14635;0;0;929645;0;989776;989776;1;0;1;1,07e+005;6;1;3
68;0;0;0;14605;8;0;938131;0;1032626;1032626;1;0;1;8,5e+004;6;1;3
69;0;0;0;15031;0;0;993561;0;1390934;1390934;1;0;1;5,58e+004;2;1;2
70;0;0;0;15398;2;0;1066847;0;1859500;1859500;1;0;1;5,22e+004;2;1;2
71;0;0;0;15811;0;0;1145277;0;2332290;2332290;1;0;1;4,97e+004;2;1;2
72;0;0;0;16265;0;0;1229035;0;2810408;2810408;1;0;1;4,85e+004;2;1;2
73;0;0;0;28865;20993;0;994869;0;1025654;46197591;1;0;1;1,51e+005;999;1;3
74;0;0;0;29028;20999;0;1006803;0;1065188;46209525;1;0;1;1,33e+005;499;1;3
75;0;0;0;29110;20974;0;1089537;0;1276808;46292259;1;0;1;9,96e+004;99;1;2
76;0;0;0;29804;21053;0;1198671;0;1569942;46401393;1;0;1;9,83e+004;49;1;2
77;0;0;0;30237;20995;0;1315805;0;1871076;46518527;1;0;1;9,72e+004;33;1;2
78;0;0;10;30803;20982;0;1440939;0;2180210;46643661;1;0;1;9,61e+004;24;1;2
79;0;0;0;28926;20992;0;1084189;0;1115250;46286911;1;0;1;1,51e+005;999;1;3
80;0;0;0;28883;20991;0;1096139;0;1154800;46298861;1;0;1;1,33e+005;499;1;3
81;0;0;0;29241;20837;0;1178889;0;1366344;46381611;1;0;1;9,96e+004;99;1;2
82;0;0;0;29482;20819;0;1288039;0;1659494;46490761;1;0;1;9,83e+004;49;1;2
83;0;0;0;30093;20905;0;1405189;0;1960644;46607911;1;0;1;9,72e+004;33;1;2
84;0;0;0;30597;20829;0;1530339;0;2269794;46733061;1;0;1;9,61e+004;24;1;2
85;0;0;0;28702;20825;0;1170013;0;1212274;46372735;1;0;1;1,89e+005;1,47e+003;1;3
86;0;0;0;28824;20817;0;1178495;0;1260836;46381217;1;0;1;1,65e+005;745;1;3
87;0;0;0;28804;20826;0;1233921;0;1570196;46436643;1;0;1;1,05e+005;149;1;2
88;0;0;0;29255;20905;0;1307203;0;1977302;46509925;1;0;1;1,02e+005;74;1;2
89;0;0;0;29589;20825;0;1385629;0;2388816;46588351;1;0;1;1e+005;49;1;2
90;0;0;0;29971;20867;0;1469383;0;2805658;46672105;1;0;1;9,9e+004;37;1;2
91;0;0;0;28850;20833;0;1231873;0;1280032;46434595;1;0;1;2,1e+005;1,51e+003;1;3
92;0;0;0;28750;20830;0;1240359;0;1334854;46443081;1;0;1;1,77e+005;757;1;3
93;0;0;0;28879;20824;0;1295789;0;1693162;46498511;1;0;1;1,08e+005;149;1;2
94;0;0;0;29286;20829;0;1369075;0;2161728;46571797;1;0;1;1,03e+005;74;1;2
95;0;0;0;29589;20908;0;1447505;0;2634518;46650227;1;0;1;1,01e+005;49;1;2
96;0;0;0;30017;20854;0;1531263;0;3112636;46733985;1;0;1;9,99e+004;37;1;2
97;0;0;0;28635;413;0;1297110;0;1327895;2203840;1;0;1;1,5e+005;23;1;3
98;0;0;0;28745;475;0;1309044;0;1367429;2215774;1;0;1;1,3e+005;15;1;3
99;0;0;0;30056;423;0;1391778;0;1579049;2298508;1;0;1;9,94e+004;2;1;2
100;0;0;0;31692;423;0;1500914;0;1872185;2407644;1;0;1;9,82e+004;2;1;2
101;0;0;0;33760;414;0;1618049;0;2173320;2524779;1;0;1;9,72e+004;2;1;2
102;0;0;0;35248;424;0;1743184;0;2482455;2649914;1;0;1;9,61e+004;2;1;2
103;0;0;0;28644;413;0;1386435;0;1417496;2293165;1;0;1;1,5e+005;22;1;3
104;0;0;0;28728;423;0;1398386;0;1457047;2305116;1;0;1;1,3e+005;15;1;3
105;0;0;0;30006;413;0;1481137;0;1668592;2387867;1;0;1;9,94e+004;2;1;2
106;0;0;0;31866;421;0;1590288;0;1961743;2497018;1;0;1;9,82e+004;2;1;2
107;0;0;0;33729;415;0;1707439;0;2262894;2614169;1;0;1;9,72e+004;2;1;2
108;0;0;0;35146;413;0;1832590;0;2572045;2739320;1;0;1;9,61e+004;2;1;2
109;0;0;0;29077;416;0;1472265;0;1532484;2378995;1;0;1;1,97e+005;32;1;3
110;0;0;0;29210;415;0;1480748;0;1587573;2387478;1;0;1;1,65e+005;18;1;3
111;0;0;0;29794;413;0;1536175;0;1872450;2442905;1;0;1;1,08e+005;3;1;2
112;0;0;0;31000;416;0;1609458;0;2279557;2516188;1;0;1;1,04e+005;2;1;2
113;0;0;0;32119;442;0;1687885;0;2691072;2691072;1;0;1;1,02e+005;2;1;2
114;0;0;0;33331;422;0;1771640;0;3107915;3107915;1;0;1;1e+005;2;1;2
115;0;0;0;29185;413;0;1534131;0;1594262;2440861;1;0;1;2,2e+005;34;1;3
116;0;0;0;29001;423;0;1542618;0;1661597;2449348;1;0;1;1,8e+005;18;1;3
117;0;0;0;29894;421;0;1598049;0;1995422;2504779;1;0;1;1,13e+005;3;1;2
118;0;0;0;31053;414;0;1671336;0;2463989;2578066;1;0;1;1,06e+005;2;1;2
119;0;0;0;32206;415;0;1749767;0;2936780;2936780;1;0;1;1,04e+005;2;1;2
120;0;0;0;33317;421;0;1833526;0;3414899;3414899;1;0;1;1,02e+005;2;1;2
121;0;0;0;29006;8;0;1599358;0;1630143;1630143;1;0;1;1,47e+005;6;1;3
122;0;0;0;29036;0;0;1611293;0;1669678;1669678;1;0;1;1,25e+005;6;1;3
123;0;0;0;30272;0;0;1694028;0;1881299;1881299;1;0;1;9,94e+004;2;1;2
124;0;0;0;31910;0;0;1803163;0;2174434;2174434;1;0;1;9,82e+004;2;1;2
125;0;0;0;34118;0;0;1920298;0;2475569;2475569;1;0;1;9,72e+004;2;1;2
126;0;0;0;35445;0;0;2045433;0;2784704;2784704;1;0;1;9,61e+004;2;1;2
127;0;0;0;28901;0;0;1688684;0;1719745;1719745;1;0;1;1,48e+005;6;1;3
128;0;0;0;29053;0;0;1700635;0;1759296;1759296;1;0;1;1,26e+005;6;1;3
129;0;0;0;30343;0;0;1783386;0;1970841;1970841;1;0;1;9,94e+004;2;1;2
130;0;0;0;31912;0;0;1892537;0;2263992;2263992;1;0;1;9,82e+004;2;1;2
131;0;0;0;33959;0;0;2009688;0;2565143;2565143;1;0;1;9,72e+004;2;1;2
132;0;0;0;35515;0;0;2134839;0;2874294;2874294;1;0;1;9,61e+004;2;1;2
133;0;0;0;29135;0;0;1774514;0;1834733;1834733;1;0;1;1,99e+005;6;1;3
134;0;0;0;29146;0;0;1782997;0;1889822;1889822;1;0;1;1,69e+005;6;1;3
135;0;0;0;29875;0;0;1838424;0;2174699;2174699;1;0;1;1,09e+005;2;1;2
136;0;0;0;31218;8;0;1911707;0;2581806;2581806;1;0;1;1,04e+005;2;1;2
137;0;0;0;32244;0;0;1990134;0;2993321;2993321;1;0;1;1,02e+005;2;1;2
138;0;0;0;33404;0;0;2073889;0;3410164;3410164;1;0;1;1,01e+005;2;1;2
139;0;0;0;29253;0;0;1836380;0;1902497;1902497;1;0;1;2,2e+005;6;1;3
140;0;0;0;29298;0;0;1844867;0;1963846;1963846;1;0;1;1,85e+005;6;1;3
141;0;0;0;30522;0;0;1900298;0;2297671;2297671;1;0;1;1,14e+005;2;1;2
142;0;0;0;31139;0;0;1973585;0;2766238;2766238;1;0;1;1,08e+005;2;1;2
143;0;0;0;32312;0;0;2052016;0;3239029;3239029;1;0;1;1,05e+005;2;1;2
144;0;0;0;33395;0;0;2135775;0;3717148;3717148;1;0;1;1,01e+005;2;1;2
145;0;0;0;42876;31329;0;1901612;0;1932397;69704334;1;0;1;2,29e+005;1,5e+003;1;3
146;0;0;10;43019;31210;0;1913547;0;1971932;69716269;1;0;1;2,09e+005;749;1;3
147;0;0;0;43307;31287;0;1996282;0;2183553;69799004;1;0;1;1,5e+005;149;1;2
148;0;0;0;44255;31210;0;2105417;0;2476688;69908139;1;0;1;1,48e+005;74;1;2
149;0;0;0;45146;31243;0;2222552;0;2777823;70025274;1;0;1;1,47e+005;49;1;2
150;0;0;0;46083;31219;0;2347687;0;3086958;70150409;1;0;1;1,46e+005;37;1;2
151;0;0;0;42920;31238;0;1990938;0;2021999;69793660;1;0;1;2,29e+005;1,5e+003;1;3
152;0;0;0;42965;31334;0;2002889;0;2061550;69805611;1;0;1;2,09e+005;749;1;3
153;0;0;0;43349;31265;0;2085640;0;2273095;69888362;1;0;1;1,5e+005;149;1;2
154;0;0;0;44401;31221;0;2194791;0;2566246;69997513;1;0;1;1,48e+005;74;1;2
155;0;0;0;45125;31302;0;2311942;0;2867397;70114664;1;0;1;1,47e+005;49;1;2
156;0;0;0;46097;31247;0;2437093;0;3176548;70239815;1;0;1;1,46e+005;37;1;2
157;0;0;0;43123;31250;0;2076768;0;2119029;69879490;1;0;1;2,84e+005;2,2e+003;1;3
158;0;0;0;43226;31212;0;2085251;0;2167592;69887973;1;0;1;2,51e+005;1,12e+003;1;3
159;0;0;0;43451;31472;0;2140678;0;2476953;69943400;1;0;1;1,58e+005;223;1;2
160;0;0;0;44215;31515;0;2213961;0;2884060;70016683;1;0;1;1,54e+005;112;1;2
161;0;0;0;44729;31463;0;2292388;0;3295575;70095110;1;0;1;1,51e+005;74;1;2
162;0;0;0;45551;31493;0;2376143;0;3712418;70178865;1;0;1;1,5e+005;56;1;2
163;0;0;0;43487;31591;0;2138634;0;2186793;69941356;1;0;1;3,17e+005;2,27e+003;1;3
164;0;0;0;43469;31490;0;2147121;0;2241616;69949843;1;0;1;2,7e+005;1,14e+003;1;3
165;0;0;0;43665;31442;0;2202552;0;2599925;70005274;1;0;1;1,63e+005;224;1;2
166;10;10;0;44229;31491;0;2275839;0;3068492;70078561;1;0;1;1,56e+005;112;1;2
167;0;0;0;44818;31468;0;2354270;0;3541283;70156992;1;0;1;1,53e+005;74;1;2
168;0;0;0;45571;31465;0;2438029;0;4019402;70240751;1;0;1;1,51e+005;56;1;2
169;0;0;0;43434;416;0;2203878;0;2234663;3113322;1;0;1;2,26e+005;22;1;3
170;0;0;0;43747;427;0;2215813;0;2274198;3125257;1;0;1;2,05e+005;14;1;3
171;0;0;0;45906;423;0;2298548;0;2485819;3207992;1;0;1;1,5e+005;3;1;2
172;0;0;0;48945;415;0;2407683;0;2778954;3317127;1;0;1;1,48e+005;2;1;2
173;0;0;0;51583;415;0;2524818;0;3080089;3434262;1;0;1;1,47e+005;2;1;2
174;0;0;0;54319;415;0;2649953;0;3389224;3559397;1;0;1;1,46e+005;2;1;2
